token_id,query,metaphor,pos,fgpos,sentence,local
a1j-fragment33_496_2,INCOMING,1.0,ADJ,JJ,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .
a1j-fragment33_496_7,large,0.0,ADJ,JJ,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .
a1j-fragment33_496_8,areas,0.0,NOUN,NNS,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .
a1j-fragment33_497_58,plethora,0.0,NOUN,NN,"Scattered through the policy review are proposals to : Drastically alter the status and organisation of the Department of Trade and Industry ; Create two departments — a Department of Consumer Affairs , and a Department for Legal Administration ; Create a Department of Environmental Protection within the existing Department of the Environment ; Set up a plethora of new commissions and executive agencies ; Set up a Women 's Ministry .",and a Department for Legal Administration ; Create a Department of Environmental Protection within the existing Department of the Environment ; Set up a plethora of new commissions and executive agencies ; Set up a Women 's Ministry .
a1j-fragment33_499_7,unscathed,0.0,ADJ,JJ,The only department which explicitly escapes unscathed is the one which Conservatives would most like to abolish : the Department of Energy .,The only department which explicitly escapes unscathed is the one which Conservatives would most like to abolish : the Department of Energy .
a1j-fragment33_501_19,antagonists,0.0,NOUN,NNS,"New departments and quangos would , according to the review , be designed to act as irritants and antagonists within the Civil Service system .",be designed to act as irritants and antagonists within the Civil Service system .
a1j-fragment33_503_6,knock-on,0.0,PROPN,NNP,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine .,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine .
a1j-fragment33_504_3,medium,0.0,ADJ,JJ,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would 
a1j-fragment33_504_6,strategy,0.0,NOUN,NN,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would 
a1j-fragment33_504_10,form,0.0,VERB,VB,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would 
a1j-fragment33_504_28,group,0.0,NOUN,NN,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",according to the Productive and Competitive Economy review group 
a1j-fragment33_504_32,administered,0.0,VERB,VBN,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",be ‘ administered by a transformed Department of Trade and Industry ’ .
a1j-fragment33_507_11,dominance,0.0,NOUN,NN,Labour policy has long sought to challenge the Treasury 's dominance in government .,Labour policy has long sought to challenge the Treasury 's dominance in government .
a1j-fragment33_508_23,ended,0.0,VERB,VBD,"But its last effort — the Department of Economic Affairs , set up by Harold Wilson and headed by George Brown — ended in futile departmental and ministerial infighting .",set up by Harold Wilson and headed by George Brown — ended in futile departmental and ministerial infighting .
a1j-fragment33_509_15,supreme,1.0,ADJ,JJ,"There would in addition be a minister for Science and Technology at the newly supreme DTI , with responsibility for determing investment in research .",There would in addition be a minister for Science and Technology at the newly supreme DTI 
a1j-fragment33_509_21,determing,1.0,VERB,VBG,"There would in addition be a minister for Science and Technology at the newly supreme DTI , with responsibility for determing investment in research .",with responsibility for determing investment in research .
a1j-fragment33_510_4,mention,1.0,NOUN,NN,There is no mention in the education policy of how that might affect the Department of Education and Science .,There is no mention in the education policy of how that might affect the Department of Education and Science .
a1j-fragment33_511_6,override,1.0,VERB,VB,"But while the DTI would override the Treasury , a new ‘ powerful Department of Consumer Affairs ’ would antagonise the DTI .",But while the DTI would override the Treasury 
a1j-fragment33_512_11,rank,1.0,NOUN,NN,It would be headed by ‘ a minister of Cabinet rank ’ and act as ‘ the consumers ’ voice with other government departments ' .,It would be headed by ‘ a minister of Cabinet rank ’ and act as ‘ the consumers ’ voice with other government departments ' .
a1j-fragment33_513_2,remit,0.0,NOUN,NN,"Its remit for inter-departmental intrusion would be wide , with ‘ a watching brief over government action ’ and the ability to initiate consumer legislation .",Its remit for inter-departmental intrusion would be wide 
a1j-fragment33_513_21,ability,1.0,NOUN,NN,"Its remit for inter-departmental intrusion would be wide , with ‘ a watching brief over government action ’ and the ability to initiate consumer legislation .",with ‘ a watching brief over government action ’ and the ability to initiate consumer legislation .
a1j-fragment33_514_10,license,0.0,NOUN,NN,Only the Women 's Ministry would be given equal license .,Only the Women 's Ministry would be given equal license .
a1j-fragment33_515_7,require,1.0,VERB,VB,"It would be able to ‘ require each government department to review its policies , practices , and existing and proposed legislation ’ .",It would be able to ‘ require each government department to review its policies 
a1j-fragment33_517_22,training,0.0,NOUN,NN,"Labour 's proposed Department for Legal Administration would take over responsibility for courts and tribunals ; court procedures ; organisation , training and appointment of the legal profession , magistracy and judiciary ; legal aid ; legal services ; and the Sentencing Council .",training and appointment of the legal profession 
a1j-fragment33_520_8,rank,1.0,NOUN,NN,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment .,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment .
a1j-fragment33_520_20,proper,1.0,ADJ,JJ,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment .,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment .
a1j-fragment33_520_22,crops,0.0,NOUN,NNS,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment .,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment .
a1j-fragment33_522_11,conflicts,1.0,NOUN,NNS,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .
a1j-fragment33_522_13,interest,1.0,NOUN,NN,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .
a1j-fragment33_522_18,planning,0.0,NOUN,NN,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .
a1j-fragment33_525_4,concerns,1.0,NOUN,NNS,"‘ Its main concerns would become food and the people who consume it , not farming and those who produce it . ’",‘ Its main concerns would become food and the people who consume it 
a1j-fragment33_526_4,functions,0.0,NOUN,NNS,"But the regulatory functions over the food industry , now split between MAFF and the Department of Health , would transfer to a new Food Standards Agency .",But the regulatory functions over the food industry 
a1j-fragment33_526_26,Standards,1.0,PROPN,NNPS,"But the regulatory functions over the food industry , now split between MAFF and the Department of Health , would transfer to a new Food Standards Agency .",would transfer to a new Food Standards Agency .
a1j-fragment33_527_15,quango-like,0.0,ADJ,JJ,"That is the first of many agencies , executives , commissions , and other quango-like bodies recommended by the review .",and other quango-like bodies recommended by the review .
a1j-fragment33_528_6,quangos,0.0,PROPN,NNP,"In some cases Labour 's quangos merge existing ones , or replace well-established bodies .",In some cases Labour 's quangos merge existing ones 
a1j-fragment33_531_21,interest,1.0,NOUN,NN,"But there would be new regulatory commissions and consumer councils for every utility , along with ombudsmen , and public interest commissioners appointed by the Secretary of State .",and public interest commissioners appointed by the Secretary of State .
a1j-fragment33_532_9,structured,0.0,ADJ,JJ,"There would be Skills UK — a locally structured training commission — a Fair Wages Commission , a Health Technology Commission , a Health Quality Commission , an Education Standards Council , an Independent Sentencing Council , a Children 's Commissioner , an Environmental Protection Executive , and a Social Insurance Fund administered by … ‘ an independent commission ’ .",There would be Skills UK — a locally structured training commission — a Fair Wages Commission 
a1j-fragment33_532_10,training,0.0,PROPN,NNP,"There would be Skills UK — a locally structured training commission — a Fair Wages Commission , a Health Technology Commission , a Health Quality Commission , an Education Standards Council , an Independent Sentencing Council , a Children 's Commissioner , an Environmental Protection Executive , and a Social Insurance Fund administered by … ‘ an independent commission ’ .",There would be Skills UK — a locally structured training commission — a Fair Wages Commission 
a1j-fragment33_532_14,Fair,1.0,PROPN,NNP,"There would be Skills UK — a locally structured training commission — a Fair Wages Commission , a Health Technology Commission , a Health Quality Commission , an Education Standards Council , an Independent Sentencing Council , a Children 's Commissioner , an Environmental Protection Executive , and a Social Insurance Fund administered by … ‘ an independent commission ’ .",There would be Skills UK — a locally structured training commission — a Fair Wages Commission 
a1j-fragment33_532_30,Standards,1.0,PROPN,NNPS,"There would be Skills UK — a locally structured training commission — a Fair Wages Commission , a Health Technology Commission , a Health Quality Commission , an Education Standards Council , an Independent Sentencing Council , a Children 's Commissioner , an Environmental Protection Executive , and a Social Insurance Fund administered by … ‘ an independent commission ’ .",an Education Standards Council 
a1u-fragment04_57_11,intractable,1.0,ADJ,JJ,The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .,The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .
a1u-fragment04_58_9,persistent,1.0,ADJ,JJ,"Even though some of the most dangerous and persistent toxins , including polychlorinated biphenyls , PCBs , are no longer manufactured , quantities of them still exist , and must be got rid of .",Even though some of the most dangerous and persistent toxins 
a1u-fragment04_58_32,got,1.0,VERB,VBN,"Even though some of the most dangerous and persistent toxins , including polychlorinated biphenyls , PCBs , are no longer manufactured , quantities of them still exist , and must be got rid of .",and must be got rid of .
a1u-fragment04_61_9,plant,1.0,NOUN,NN,"On this page , Nick Roe visits a plant which , despite strenuous public relations efforts , has failed to convince its neighbours that it has come clean .",Nick Roe visits a plant which 
a1u-fragment04_61_21,convince,1.0,VERB,VB,"On this page , Nick Roe visits a plant which , despite strenuous public relations efforts , has failed to convince its neighbours that it has come clean .",has failed to convince its neighbours that it has come clean .
a1u-fragment04_62_25,growth,0.0,NOUN,NN,"And Richard North looks at current provisions for the destruction of PCBs , and at the history of British involvement in a rather uncomfortable growth industry The security guard at the entrance to one of Britain 's mightiest hazardous waste disposal plants pressed a button and the gate opened .",and at the history of British involvement in a rather uncomfortable growth industry The security guard at the entrance to one of Britain 's mightiest hazardous waste disposal plants pressed a button and the gate opened .
a1u-fragment04_63_17,trousers,0.0,NOUN,NNS,Then he pressed another knob and a big toy doll in his office window dropped its trousers .,Then he pressed another knob and a big toy doll in his office window dropped its trousers .
a1u-fragment04_65_7,high-temperature,1.0,ADJ,JJ,"Yet this was Rechem International 's high-temperature incineration plant at Pontypool in Gwent , South Wales .",Yet this was Rechem International 's high-temperature incineration plant at Pontypool in Gwent 
a1u-fragment04_65_9,plant,1.0,NOUN,NN,"Yet this was Rechem International 's high-temperature incineration plant at Pontypool in Gwent , South Wales .",Yet this was Rechem International 's high-temperature incineration plant at Pontypool in Gwent 
a1u-fragment04_66_3,laughing,0.0,NOUN,NN,"Hardly a laughing matter , surely ?",Hardly a laughing matter 
a1u-fragment04_67_3,barrier,0.0,NOUN,NN,"Beyond the barrier lay some of the most toxic chemicals known , awaiting destruction by fire .",Beyond the barrier lay some of the most toxic chemicals known 
a1u-fragment04_69_14,massive,1.0,ADJ,JJ,"A vast , smoke-blackened furnace ; 100 people to do the work ; massive investment — the company spent £2m last year on cleaning up smoke emissions .",smoke-blackened furnace ; 100 people to do the work ; massive investment — the company spent £2m last year on cleaning up smoke emissions .
a1u-fragment04_70_3,backdrop,1.0,NOUN,NN,"Plus a backdrop of houses covering the valley walls on either side , a reminder that wherever industrialised societies decide to deal with their most intractable problems , they are unlikely to find a place to do so which is not in somebody 's back yard .",Plus a backdrop of houses covering the valley walls on either side 
a1u-fragment04_70_9,walls,1.0,NOUN,NNS,"Plus a backdrop of houses covering the valley walls on either side , a reminder that wherever industrialised societies decide to deal with their most intractable problems , they are unlikely to find a place to do so which is not in somebody 's back yard .",Plus a backdrop of houses covering the valley walls on either side 
a1u-fragment04_70_26,intractable,1.0,ADJ,JJ,"Plus a backdrop of houses covering the valley walls on either side , a reminder that wherever industrialised societies decide to deal with their most intractable problems , they are unlikely to find a place to do so which is not in somebody 's back yard .",a reminder that wherever industrialised societies decide to deal with their most intractable problems 
a1u-fragment04_70_46,yard,1.0,NOUN,NN,"Plus a backdrop of houses covering the valley walls on either side , a reminder that wherever industrialised societies decide to deal with their most intractable problems , they are unlikely to find a place to do so which is not in somebody 's back yard .",they are unlikely to find a place to do so which is not in somebody 's back yard .
a1u-fragment04_71_31,high,1.0,ADJ,JJ,"Britain grinds out almost five million tonnes of hazardous waste each year , of which about 63,000 tonnes are so difficult to store or treat that they are burnt at high temperatures here in Gwent or at one of three other centres : Ellesmere Port ; Fawley , near Southampton ; and the unfortunately named Killamarsh , near Sheffield .","of which about 63,000 tonnes are so difficult to store or treat that they are burnt at high temperatures here in Gwent or at one of three other centres : Ellesmere Port ; Fawley "
a1u-fragment04_71_42,centres,1.0,NOUN,NNS,"Britain grinds out almost five million tonnes of hazardous waste each year , of which about 63,000 tonnes are so difficult to store or treat that they are burnt at high temperatures here in Gwent or at one of three other centres : Ellesmere Port ; Fawley , near Southampton ; and the unfortunately named Killamarsh , near Sheffield .","of which about 63,000 tonnes are so difficult to store or treat that they are burnt at high temperatures here in Gwent or at one of three other centres : Ellesmere Port ; Fawley "
a1u-fragment04_74_4,conscious,1.0,ADJ,JJ,"In these environmentally conscious times , this is an uncomfortable growth industry .",In these environmentally conscious times 
a1u-fragment04_74_11,growth,0.0,NOUN,NN,"In these environmentally conscious times , this is an uncomfortable growth industry .",this is an uncomfortable growth industry .
a1u-fragment04_75_5,back,0.0,ADJ,JJ,"Liverpool dockers recently turned back parts of a 1,500-tonne consignment of Canadian PCBs ( polychlorinated biphenyls ) bound for this plant in Gwent .","Liverpool dockers recently turned back parts of a 1,500-tonne consignment of Canadian PCBs ( polychlorinated biphenyls ) bound for this plant in Gwent ."
a1u-fragment04_76_22,shift,0.0,VERB,VB,"In doing so , they underlined a fact which is likely to attract more and more attention as tankers continue to shift toxins from town to town , country to country : the waste chain is long .",they underlined a fact which is likely to attract more and more attention as tankers continue to shift toxins from town to town 
