token_id,query,metaphor,pos,fgpos,sentence,local
a1j-fragment33_496_28,restructuring,0.0,VERB,VBG,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party 's policy review barely considers the implications of its plans for restructuring government departments .
a1j-fragment33_500_12,declared,0.0,VERB,VBN,"In virtually every case the aim of causing upheaval is explicitly declared , because Labour 's aim would be to upset the bureaucratic order it inherits .",In virtually every case the aim of causing upheaval is explicitly declared 
a1j-fragment33_504_10,form,0.0,VERB,VB,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would 
a1j-fragment33_504_32,administered,0.0,VERB,VBN,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",be ‘ administered by a transformed Department of Trade and Industry ’ .
a1j-fragment33_504_35,transformed,0.0,VERB,VBN,"The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would , according to the Productive and Competitive Economy review group , be ‘ administered by a transformed Department of Trade and Industry ’ .",be ‘ administered by a transformed Department of Trade and Industry ’ .
a1j-fragment33_505_9,seek,1.0,VERB,VBP,"The review adds : ‘ What we now seek is a DTI which will have an equal , if not superior status , to that of the Treasury . ’",The review adds : ‘ What we now seek is a DTI which will have an equal 
a1j-fragment33_508_23,ended,0.0,VERB,VBD,"But its last effort — the Department of Economic Affairs , set up by Harold Wilson and headed by George Brown — ended in futile departmental and ministerial infighting .",set up by Harold Wilson and headed by George Brown — ended in futile departmental and ministerial infighting .
a1j-fragment33_509_21,determing,1.0,VERB,VBG,"There would in addition be a minister for Science and Technology at the newly supreme DTI , with responsibility for determing investment in research .",with responsibility for determing investment in research .
a1j-fragment33_515_7,require,1.0,VERB,VB,"It would be able to ‘ require each government department to review its policies , practices , and existing and proposed legislation ’ .",It would be able to ‘ require each government department to review its policies 
a1j-fragment33_522_10,imagine,0.0,VERB,VB,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department .
a1j-fragment33_527_17,recommended,1.0,VERB,VBN,"That is the first of many agencies , executives , commissions , and other quango-like bodies recommended by the review .",and other quango-like bodies recommended by the review .
a1u-fragment04_57_13,facing,1.0,VERB,VBG,The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .,The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .
