token_id,fold
a1h-fragment06_114_1,0
a1h-fragment06_114_3,2
a1h-fragment06_114_4,4
a1h-fragment06_115_2,9
a1h-fragment06_115_3,8
a1h-fragment06_116_1,3
a1h-fragment06_116_2,5
a1h-fragment06_116_5,2
a1h-fragment06_116_6,6
a1h-fragment06_116_9,4
a1h-fragment06_116_11,9
a1h-fragment06_116_12,7
a1h-fragment06_117_3,6
a1h-fragment06_117_5,5
a1h-fragment06_117_7,8
a1h-fragment06_117_8,2
a1h-fragment06_117_15,5
a1h-fragment06_117_16,3
a1h-fragment06_117_17,1
a1h-fragment06_117_21,5
a1h-fragment06_117_27,0
a1h-fragment06_117_29,1
a1h-fragment06_117_31,2
a1h-fragment06_117_32,8
a1h-fragment06_117_34,4
a1h-fragment06_117_37,5
a1h-fragment06_117_40,5
a1h-fragment06_117_41,1
a1h-fragment06_118_2,3
a1h-fragment06_118_3,7
a1h-fragment06_118_4,7
a1h-fragment06_118_8,6
a1h-fragment06_118_10,3
a1h-fragment06_118_12,9
a1h-fragment06_118_13,0
a1h-fragment06_118_15,4
a1h-fragment06_118_18,8
a1h-fragment06_118_19,5
a1h-fragment06_118_21,8
a1h-fragment06_118_22,7
a1h-fragment06_118_24,6
a1h-fragment06_118_25,1
a1h-fragment06_118_26,5
a1h-fragment06_118_29,7
a1h-fragment06_119_3,6
a1h-fragment06_119_5,3
a1h-fragment06_119_6,0
a1h-fragment06_119_7,4
a1h-fragment06_119_9,5
a1h-fragment06_119_11,0
a1h-fragment06_119_17,2
a1h-fragment06_119_18,3
a1h-fragment06_119_21,0
a1h-fragment06_119_22,5
a1h-fragment06_119_23,6
a1h-fragment06_120_4,7
a1h-fragment06_120_6,2
a1h-fragment06_120_9,5
a1h-fragment06_120_11,6
a1h-fragment06_120_12,0
a1h-fragment06_120_15,1
a1h-fragment06_121_1,9
a1h-fragment06_121_3,4
a1h-fragment06_121_5,9
a1h-fragment06_121_7,2
a1h-fragment06_121_9,8
a1h-fragment06_121_10,3
a1h-fragment06_121_12,4
a1h-fragment06_121_14,0
a1h-fragment06_121_17,6
a1h-fragment06_121_20,4
a1h-fragment06_122_1,9
a1h-fragment06_122_3,9
a1h-fragment06_122_4,9
a1h-fragment06_122_5,2
